Annual National Park Visitation - GRSM.DEVA
Year,Great Smoky,Death Valley
1931,"154,000",
1932,"300,000",
1933,"375,000","9,970"
1934,"420,000","19,678"
1935,"500,000","42,061"
1936,"602,222","40,815"
1937,"727,243","48,874"
1938,"694,634","58,320"
1939,"761,567","61,301"
1940,"860,960","80,842"
1941,"1,310,101","100,829"
1942,"728,706","44,755"
1943,"383,116","14,374"
1944,"534,586","13,661"
1945,"750,690","31,112"
1946,"1,157,930","100,976"
1947,"1,204,017","161,953"
1948,"1,469,749","162,150"
1949,"1,539,641","208,557"
1950,"1,843,620","189,045"
1951,"1,945,100","219,520"
1952,"2,322,152","296,106"
1953,"2,250,772","338,899"
1954,"2,526,900","337,900"
1955,"2,581,500","342,200"
1956,"2,885,800","300,100"
1957,"2,943,700","333,400"
1958,"3,168,900","334,300"
1959,"3,162,300","335,700"
1960,"4,528,600","355,900"
1961,"4,762,100","397,900"
1962,"5,209,800","363,400"
1963,"5,258,700","408,100"
1964,"5,321,100","403,600"
1965,"5,954,900","453,000"
1966,"6,466,100","437,800"
1967,"6,710,100","476,700"
1968,"6,667,100","469,600"
1969,"6,331,100","458,800"
1970,"6,778,500","580,500"
1971,"7,173,000","290,900"
1972,"8,034,753","293,999"
1973,"7,586,300","315,400"
1974,"7,807,800","368,800"
1975,"8,541,500","545,500"
1976,"8,991,500","582,400"
1977,"9,173,600","620,400"
1978,"8,695,534","673,610"
1979,"8,019,788","631,152"
1980,"8,440,953","618,140"
1981,"8,312,884","630,402"
1982,"8,177,869","679,992"
1983,"8,435,475","635,582"
1984,"8,508,390","621,197"
1985,"9,319,290","576,679"
1986,"9,836,306","586,668"
1987,"10,209,841","665,345"
1988,"8,770,781","692,267"
1989,"8,333,553","664,449"
1990,"8,151,769","690,965"
1991,"8,654,459","743,608"
1992,"8,931,690","869,183"
1993,"9,283,848","998,474"
1994,"8,628,174","971,487"
1995,"9,080,420","1,109,421"
1996,"9,265,667","1,189,215"
1997,"9,965,075","1,188,212"
1998,"9,989,395","1,177,746"
1999,"10,283,598","1,227,583"
2000,"10,175,812","1,179,094"
2001,"9,197,697","1,014,636"
2002,"9,316,420","897,596"
2003,"9,366,845","890,375"
2004,"9,167,046","764,820"
2005,"9,192,477","800,113"
2006,"9,289,215","744,440"
2007,"9,372,253","704,122"
2008,"9,044,010","871,938"
2009,"9,491,437","828,574"
2010,"9,463,538","984,775"
2011,"9,008,830","946,867"
2012,"9,685,829","984,568"
2013,"9,354,695","951,972"
2014,"10,099,276","1,101,312"
2015,"10,712,674","1,154,843"
2016,"11,312,786","1,296,283"
2017,"11,338,893","1,294,827"
2018,"11,421,200","1,678,660"
2019,"12,547,743","1,740,945"
2020,"12,095,720","820,023"
2021,"14,161,548","1,146,551"
2022,"12,937,633","1,128,862"
2023,"13,297,647","1,099,632"
2024,"12,191,834","1,440,484"
Total,"621,939,276","56,357,786"
