Set #,Year,Piece Count,US Retail Price,Avg Current Worth New,,,"Sources: https://www.lego.com/en-us/themes/star-wars/history-of-lego-star-wars-millennium-falcon, eurobricks.com, brickset.com"
7190,2000,659,$99.99 ,$725 ,,,
4488,2003,87,$6.99 ,$43.13 ,,,
4504,2004,984,$99.99 ,$550 ,,,
10179,2007,5197,$499.99 ,"$1,827.81 ",,,
7778,2009,356,$39.99 ,$105 ,,,
7965,2011,1254,$139.99 ,$239.99 ,,,
75030,2014,94,$9.99 ,$21 ,,,
75105,2015,1329,$149.99 ,$149.99 ,,,
75192,2017,7541,$849.99 ,$849.99 ,,,
75212,2018,1414,$169.99 ,$248.57 ,,,
75257,2019,,,,,,
75295,2021,,,,,,
75375,2024,921,$84.99 ,$84.99 ,,,
75389,2024,1579,$179.99 ,$179.99 ,,,
