Series ID,Year,Period,Label,Value
APU000074714,2015,M01,2015 Jan,2.11
APU000074714,2015,M02,2015 Feb,2.249
APU000074714,2015,M03,2015 Mar,2.483
APU000074714,2015,M04,2015 Apr,2.485
APU000074714,2015,M05,2015 May,2.775
APU000074714,2015,M06,2015 Jun,2.832
APU000074714,2015,M07,2015 Jul,2.832
APU000074714,2015,M08,2015 Aug,2.679
APU000074714,2015,M09,2015 Sep,2.394
APU000074714,2015,M10,2015 Oct,2.289
APU000074714,2015,M11,2015 Nov,2.185
APU000074714,2015,M12,2015 Dec,2.06
APU000074714,2016,M01,2016 Jan,1.967
APU000074714,2016,M02,2016 Feb,1.767
APU000074714,2016,M03,2016 Mar,1.958
APU000074714,2016,M04,2016 Apr,2.134
APU000074714,2016,M05,2016 May,2.264
APU000074714,2016,M06,2016 Jun,2.363
APU000074714,2016,M07,2016 Jul,2.225
APU000074714,2016,M08,2016 Aug,2.155
APU000074714,2016,M09,2016 Sep,2.208
APU000074714,2016,M10,2016 Oct,2.243
APU000074714,2016,M11,2016 Nov,2.187
APU000074714,2016,M12,2016 Dec,2.23
APU000074714,2017,M01,2017 Jan,2.351
APU000074714,2017,M02,2017 Feb,2.299
APU000074714,2017,M03,2017 Mar,2.323
APU000074714,2017,M04,2017 Apr,2.418
APU000074714,2017,M05,2017 May,2.386
APU000074714,2017,M06,2017 Jun,2.337
APU000074714,2017,M07,2017 Jul,2.281
APU000074714,2017,M08,2017 Aug,2.374
APU000074714,2017,M09,2017 Sep,2.63
APU000074714,2017,M10,2017 Oct,2.484
APU000074714,2017,M11,2017 Nov,2.548
APU000074714,2017,M12,2017 Dec,2.459
APU000074714,2018,M01,2018 Jan,2.539
APU000074714,2018,M02,2018 Feb,2.575
APU000074714,2018,M03,2018 Mar,2.572
APU000074714,2018,M04,2018 Apr,2.737
APU000074714,2018,M05,2018 May,2.907
APU000074714,2018,M06,2018 Jun,2.914
APU000074714,2018,M07,2018 Jul,2.873
APU000074714,2018,M08,2018 Aug,2.862
APU000074714,2018,M09,2018 Sep,2.873
APU000074714,2018,M10,2018 Oct,2.887
APU000074714,2018,M11,2018 Nov,2.671
APU000074714,2018,M12,2018 Dec,2.414
APU000074714,2019,M01,2019 Jan,2.289
APU000074714,2019,M02,2019 Feb,2.353
APU000074714,2019,M03,2019 Mar,2.564
APU000074714,2019,M04,2019 Apr,2.835
APU000074714,2019,M05,2019 May,2.901
APU000074714,2019,M06,2019 Jun,2.752
APU000074714,2019,M07,2019 Jul,2.776
APU000074714,2019,M08,2019 Aug,2.655
APU000074714,2019,M09,2019 Sep,2.63
APU000074714,2019,M10,2019 Oct,2.673
APU000074714,2019,M11,2019 Nov,2.62
APU000074714,2019,M12,2019 Dec,2.587
APU000074714,2020,M01,2020 Jan,2.567
APU000074714,2020,M02,2020 Feb,2.465
APU000074714,2020,M03,2020 Mar,2.267
APU000074714,2020,M04,2020 Apr,1.876
APU000074714,2020,M05,2020 May,1.879
APU000074714,2020,M06,2020 Jun,2.076
APU000074714,2020,M07,2020 Jul,2.176
APU000074714,2020,M08,2020 Aug,2.177
APU000074714,2020,M09,2020 Sep,2.193
APU000074714,2020,M10,2020 Oct,2.159
APU000074714,2020,M11,2020 Nov,2.09
APU000074714,2020,M12,2020 Dec,2.168
APU000074714,2021,M01,2021 Jan,2.326
APU000074714,2021,M02,2021 Feb,2.496
APU000074714,2021,M03,2021 Mar,2.791
APU000074714,2021,M04,2021 Apr,2.839
APU000074714,2021,M05,2021 May,2.972
APU000074714,2021,M06,2021 Jun,3.154
APU000074714,2021,M07,2021 Jul,3.233
APU000074714,2021,M08,2021 Aug,3.255
APU000074714,2021,M09,2021 Sep,3.265
APU000074714,2021,M10,2021 Oct,3.385
APU000074714,2021,M11,2021 Nov,3.482
APU000074714,2021,M12,2021 Dec,3.408
APU000074714,2022,M01,2022 Jan,3.413
APU000074714,2022,M02,2022 Feb,3.592
APU000074714,2022,M03,2022 Mar,4.312
APU000074714,2022,M04,2022 Apr,4.271
APU000074714,2022,M05,2022 May,4.604
APU000074714,2022,M06,2022 Jun,5.058
APU000074714,2022,M07,2022 Jul,4.667
APU000074714,2022,M08,2022 Aug,4.101
APU000074714,2022,M09,2022 Sep,3.881
APU000074714,2022,M10,2022 Oct,4.016
APU000074714,2022,M11,2022 Nov,3.853
APU000074714,2022,M12,2022 Dec,3.356
APU000074714,2023,M01,2023 Jan,3.452
APU000074714,2023,M02,2023 Feb,3.514
APU000074714,2023,M03,2023 Mar,3.551
