UTK In- or Out-of-State Enrollment Trends,,,,
Year,In-State,Out-of-state,International,Total
2025,25000,"13,956",1465,40421
2024,24144,13159,1425,38728
2023,22923,12060,1321,36304
2022,22381,10255,1169,33805
2021,22604,8037,1060,31701
2020,22942,6674,943,30559
2019,22648,5696,1116,29460
2018,22796,4942,1156,28894
2017,22889,4211,1221,28321
2016,23035,3749,1268,28052
Source from Institutional Research and Strategic Analysis,,,,
https://app.powerbi.com/view?r=eyJrIjoiMDdmMGNkMWYtYmJiMy00OTNhLTkzYzctY2NjOWY1YzAwOTc0IiwidCI6IjUxNTgxM2Q5LTcxN2QtNDVkZC05ZWNhLTlhYTE5YzA5ZDZmOSIsImMiOjN9,,,,
