,TRANSGENDER,,,CIS - SEXUAL MAJORITY,,CIS - SEXUAL MINORITY,,,,"SOURCE: Kaufman G, Taniguchi H, Compton D. Life Satisfaction and Negative Affect Among Trans Men, Trans Women, and Nonbinary Individuals in a U.S. National Sample. LGBT Health. 2024;11(1):57-65. doi:10.1089/lgbt.2022.0350"
VARIABLE (RANGE),Men,Women,Nonbinary,Men,Women,Men ,Women,,,TABLE 1 
Sample Size,74,113,72,463,474,38,42,,,"mean listed, standard error in parantheses "
Life Satisfaction,3.78 (0.27),3.93 (0.24),3.87 (0.28),5.07 (0.10),5.08 (0.11),3.89 (0.46),4.05 (0.28),,,
Negative Affect,2.44 (0.15),2.58 (0.14),2.89 (0.15),1.61 (0.07),1.66 (0.05),2.15 (0.17),2.69 (0.18) ,,,
Support from a special person,5.73 (0.18),5.07 (0.27),5.40 (0.25),,,,,,,
Support from my friends,5.65 (0.20),5.20 (0.23),5.32 (0.26),,,,,,,
Support from my family,4.24 (0.25),3.96 (0.26),3.99 (0.24),,,,,,,
Social Belonging,4.52 (0.20),4.34 (0.20),4.61 (0.25),,,,,,,
Transgender Connectedness,3.47 (0.11),3.63 (0.12),3.73 (0.11),,,,,,,
Transgender friendly neighborhood,0.60 (0.07),0.61 (0.06),0.57 (0.08),,,,,,,
Everyday discrimination,2.53 (0.11),2.58 (0.12),2.62 (0.13),,,,,,,
Nondisclosure,3.45 (0.14),3.57 (0.14),3.35 (0.13),,,,,,,
Age,29.58 (1.89),39.77 (1.75),29.46 (1.71),,,,,,,
College Graduate,0.19 (0.05),0.24 (0.04),0.34 (0.07),,,,,,,
Income ,3.59 (0.48),5.14 (0.40),4.92 (0.59),,,,,,,
Health,3.15 (0.18),3.36 (0.15),2.88 (0.16),,,,,,,
