Series ID,Year,Period,Label,Value,,
APU0000711211,1999,M01,1999 Jan,0.489,,Banana prices per lb - source: https://data.bls.gov/dataViewer/view/timeseries/APU0000711211
APU0000711211,1999,M02,1999 Feb,0.509,,
APU0000711211,1999,M03,1999 Mar,0.506,,
APU0000711211,1999,M04,1999 Apr,0.482,,
APU0000711211,1999,M05,1999 May,0.492,,
APU0000711211,1999,M06,1999 Jun,0.502,,
APU0000711211,1999,M07,1999 Jul,0.494,,
APU0000711211,1999,M08,1999 Aug,0.49,,
APU0000711211,1999,M09,1999 Sep,0.481,,
APU0000711211,1999,M10,1999 Oct,0.471,,
APU0000711211,1999,M11,1999 Nov,0.48,,
APU0000711211,1999,M12,1999 Dec,0.494,,
APU0000711211,2000,M01,2000 Jan,0.49,,
APU0000711211,2000,M02,2000 Feb,0.528,,
APU0000711211,2000,M03,2000 Mar,0.517,,
APU0000711211,2000,M04,2000 Apr,0.51,,
APU0000711211,2000,M05,2000 May,0.509,,
APU0000711211,2000,M06,2000 Jun,0.506,,
APU0000711211,2000,M07,2000 Jul,0.512,,
APU0000711211,2000,M08,2000 Aug,0.49,,
APU0000711211,2000,M09,2000 Sep,0.488,,
APU0000711211,2000,M10,2000 Oct,0.496,,
APU0000711211,2000,M11,2000 Nov,0.479,,
APU0000711211,2000,M12,2000 Dec,0.487,,
APU0000711211,2001,M01,2001 Jan,0.5,,
APU0000711211,2001,M02,2001 Feb,0.496,,
APU0000711211,2001,M03,2001 Mar,0.51,,
APU0000711211,2001,M04,2001 Apr,0.492,,
APU0000711211,2001,M05,2001 May,0.509,,
APU0000711211,2001,M06,2001 Jun,0.506,,
APU0000711211,2001,M07,2001 Jul,0.523,,
APU0000711211,2001,M08,2001 Aug,0.519,,
APU0000711211,2001,M09,2001 Sep,0.508,,
APU0000711211,2001,M10,2001 Oct,0.503,,
APU0000711211,2001,M11,2001 Nov,0.509,,
APU0000711211,2001,M12,2001 Dec,0.505,,
APU0000711211,2002,M01,2002 Jan,0.509,,
APU0000711211,2002,M02,2002 Feb,0.504,,
APU0000711211,2002,M03,2002 Mar,0.519,,
APU0000711211,2002,M04,2002 Apr,0.504,,
APU0000711211,2002,M05,2002 May,0.515,,
APU0000711211,2002,M06,2002 Jun,0.512,,
APU0000711211,2002,M07,2002 Jul,0.517,,
APU0000711211,2002,M08,2002 Aug,0.499,,
APU0000711211,2002,M09,2002 Sep,0.498,,
APU0000711211,2002,M10,2002 Oct,0.504,,
APU0000711211,2002,M11,2002 Nov,0.505,,
APU0000711211,2002,M12,2002 Dec,0.504,,
APU0000711211,2003,M01,2003 Jan,0.526,,
APU0000711211,2003,M02,2003 Feb,0.508,,
APU0000711211,2003,M03,2003 Mar,0.513,,
APU0000711211,2003,M04,2003 Apr,0.517,,
APU0000711211,2003,M05,2003 May,0.505,,
APU0000711211,2003,M06,2003 Jun,0.521,,
APU0000711211,2003,M07,2003 Jul,0.514,,
APU0000711211,2003,M08,2003 Aug,0.514,,
APU0000711211,2003,M09,2003 Sep,0.494,,
APU0000711211,2003,M10,2003 Oct,0.49,,
APU0000711211,2003,M11,2003 Nov,0.498,,
APU0000711211,2003,M12,2003 Dec,0.504,,
APU0000711211,2004,M01,2004 Jan,0.512,,
APU0000711211,2004,M02,2004 Feb,0.504,,
APU0000711211,2004,M03,2004 Mar,0.5,,
APU0000711211,2004,M04,2004 Apr,0.505,,
APU0000711211,2004,M05,2004 May,0.491,,
APU0000711211,2004,M06,2004 Jun,0.498,,
APU0000711211,2004,M07,2004 Jul,0.51,,
APU0000711211,2004,M08,2004 Aug,0.507,,
APU0000711211,2004,M09,2004 Sep,0.488,,
APU0000711211,2004,M10,2004 Oct,0.485,,
APU0000711211,2004,M11,2004 Nov,0.469,,
APU0000711211,2004,M12,2004 Dec,0.474,,
APU0000711211,2005,M01,2005 Jan,0.485,,
APU0000711211,2005,M02,2005 Feb,0.502,,
APU0000711211,2005,M03,2005 Mar,0.507,,
APU0000711211,2005,M04,2005 Apr,0.503,,
APU0000711211,2005,M05,2005 May,0.497,,
APU0000711211,2005,M06,2005 Jun,0.493,,
APU0000711211,2005,M07,2005 Jul,0.494,,
APU0000711211,2005,M08,2005 Aug,0.487,,
APU0000711211,2005,M09,2005 Sep,0.485,,
APU0000711211,2005,M10,2005 Oct,0.491,,
APU0000711211,2005,M11,2005 Nov,0.48,,
APU0000711211,2005,M12,2005 Dec,0.482,,
APU0000711211,2006,M01,2006 Jan,0.49,,
APU0000711211,2006,M02,2006 Feb,0.508,,
APU0000711211,2006,M03,2006 Mar,0.508,,
APU0000711211,2006,M04,2006 Apr,0.508,,
APU0000711211,2006,M05,2006 May,0.514,,
APU0000711211,2006,M06,2006 Jun,0.511,,
APU0000711211,2006,M07,2006 Jul,0.508,,
APU0000711211,2006,M08,2006 Aug,0.492,,
APU0000711211,2006,M09,2006 Sep,0.479,,
APU0000711211,2006,M10,2006 Oct,0.489,,
APU0000711211,2006,M11,2006 Nov,0.498,,
APU0000711211,2006,M12,2006 Dec,0.499,,
APU0000711211,2007,M01,2007 Jan,0.505,,
APU0000711211,2007,M02,2007 Feb,0.507,,
APU0000711211,2007,M03,2007 Mar,0.51,,
APU0000711211,2007,M04,2007 Apr,0.517,,
APU0000711211,2007,M05,2007 May,0.503,,
APU0000711211,2007,M06,2007 Jun,0.512,,
APU0000711211,2007,M07,2007 Jul,0.509,,
APU0000711211,2007,M08,2007 Aug,0.506,,
APU0000711211,2007,M09,2007 Sep,0.505,,
APU0000711211,2007,M10,2007 Oct,0.508,,
APU0000711211,2007,M11,2007 Nov,0.515,,
APU0000711211,2007,M12,2007 Dec,0.525,,
APU0000711211,2008,M01,2008 Jan,0.521,,
APU0000711211,2008,M02,2008 Feb,0.54,,
APU0000711211,2008,M03,2008 Mar,0.597,,
APU0000711211,2008,M04,2008 Apr,0.627,,
APU0000711211,2008,M05,2008 May,0.63,,
APU0000711211,2008,M06,2008 Jun,0.633,,
APU0000711211,2008,M07,2008 Jul,0.627,,
APU0000711211,2008,M08,2008 Aug,0.634,,
APU0000711211,2008,M09,2008 Sep,0.631,,
APU0000711211,2008,M10,2008 Oct,0.629,,
APU0000711211,2008,M11,2008 Nov,0.626,,
APU0000711211,2008,M12,2008 Dec,0.617,,
APU0000711211,2009,M01,2009 Jan,0.629,,
APU0000711211,2009,M02,2009 Feb,0.641,,
APU0000711211,2009,M03,2009 Mar,0.634,,
APU0000711211,2009,M04,2009 Apr,0.629,,
APU0000711211,2009,M05,2009 May,0.622,,
APU0000711211,2009,M06,2009 Jun,0.617,,
APU0000711211,2009,M07,2009 Jul,0.616,,
APU0000711211,2009,M08,2009 Aug,0.611,,
APU0000711211,2009,M09,2009 Sep,0.605,,
APU0000711211,2009,M10,2009 Oct,0.598,,
APU0000711211,2009,M11,2009 Nov,0.561,,
APU0000711211,2009,M12,2009 Dec,0.571,,
APU0000711211,2010,M01,2010 Jan,0.586,,
APU0000711211,2010,M02,2010 Feb,0.587,,
APU0000711211,2010,M03,2010 Mar,0.575,,
APU0000711211,2010,M04,2010 Apr,0.58,,
APU0000711211,2010,M05,2010 May,0.571,,
APU0000711211,2010,M06,2010 Jun,0.577,,
APU0000711211,2010,M07,2010 Jul,0.583,,
APU0000711211,2010,M08,2010 Aug,0.576,,
APU0000711211,2010,M09,2010 Sep,0.573,,
APU0000711211,2010,M10,2010 Oct,0.58,,
APU0000711211,2010,M11,2010 Nov,0.581,,
APU0000711211,2010,M12,2010 Dec,0.587,,
APU0000711211,2011,M01,2011 Jan,0.596,,
APU0000711211,2011,M02,2011 Feb,0.625,,
APU0000711211,2011,M03,2011 Mar,0.621,,
APU0000711211,2011,M04,2011 Apr,0.621,,
APU0000711211,2011,M05,2011 May,0.617,,
APU0000711211,2011,M06,2011 Jun,0.614,,
APU0000711211,2011,M07,2011 Jul,0.611,,
