Series ID,Year,Period,Label,Value,,
APU0000717311,1999,M01,1999 Jan,3.435,,Coffee prices per lb - source: https://data.bls.gov/dataViewer/view/timeseries/APU0000717311
APU0000717311,1999,M02,1999 Feb,3.428,,
APU0000717311,1999,M03,1999 Mar,3.476,,
APU0000717311,1999,M04,1999 Apr,3.466,,
APU0000717311,1999,M05,1999 May,3.495,,
APU0000717311,1999,M06,1999 Jun,3.421,,
APU0000717311,1999,M07,1999 Jul,3.42,,
APU0000717311,1999,M08,1999 Aug,3.428,,
APU0000717311,1999,M09,1999 Sep,3.393,,
APU0000717311,1999,M10,1999 Oct,3.482,,
APU0000717311,1999,M11,1999 Nov,3.337,,
APU0000717311,1999,M12,1999 Dec,3.347,,
APU0000717311,2000,M01,2000 Jan,3.54,,
APU0000717311,2000,M02,2000 Feb,3.677,,
APU0000717311,2000,M03,2000 Mar,3.633,,
APU0000717311,2000,M04,2000 Apr,3.584,,
APU0000717311,2000,M05,2000 May,3.531,,
APU0000717311,2000,M06,2000 Jun,3.431,,
APU0000717311,2000,M07,2000 Jul,3.446,,
APU0000717311,2000,M08,2000 Aug,3.444,,
APU0000717311,2000,M09,2000 Sep,3.339,,
APU0000717311,2000,M10,2000 Oct,3.317,,
APU0000717311,2000,M11,2000 Nov,3.243,,
APU0000717311,2000,M12,2000 Dec,3.212,,
APU0000717311,2001,M01,2001 Jan,3.224,,
APU0000717311,2001,M02,2001 Feb,3.217,,
APU0000717311,2001,M03,2001 Mar,3.205,,
APU0000717311,2001,M04,2001 Apr,3.128,,
APU0000717311,2001,M05,2001 May,3.097,,
APU0000717311,2001,M06,2001 Jun,3.156,,
APU0000717311,2001,M07,2001 Jul,3.097,,
APU0000717311,2001,M08,2001 Aug,3.046,,
APU0000717311,2001,M09,2001 Sep,3.025,,
APU0000717311,2001,M10,2001 Oct,3.015,,
APU0000717311,2001,M11,2001 Nov,2.988,,
APU0000717311,2001,M12,2001 Dec,2.913,,
APU0000717311,2002,M01,2002 Jan,2.936,,
APU0000717311,2002,M02,2002 Feb,2.946,,
APU0000717311,2002,M03,2002 Mar,2.859,,
APU0000717311,2002,M04,2002 Apr,2.976,,
APU0000717311,2002,M05,2002 May,3.011,,
APU0000717311,2002,M06,2002 Jun,2.938,,
APU0000717311,2002,M07,2002 Jul,2.977,,
APU0000717311,2002,M08,2002 Aug,2.929,,
APU0000717311,2002,M09,2002 Sep,2.921,,
APU0000717311,2002,M10,2002 Oct,2.872,,
APU0000717311,2002,M11,2002 Nov,2.882,,
APU0000717311,2002,M12,2002 Dec,2.838,,
APU0000717311,2003,M01,2003 Jan,2.999,,
APU0000717311,2003,M02,2003 Feb,2.924,,
APU0000717311,2003,M03,2003 Mar,2.933,,
APU0000717311,2003,M04,2003 Apr,3.008,,
APU0000717311,2003,M05,2003 May,2.937,,
APU0000717311,2003,M06,2003 Jun,2.931,,
APU0000717311,2003,M07,2003 Jul,2.944,,
APU0000717311,2003,M08,2003 Aug,2.921,,
APU0000717311,2003,M09,2003 Sep,2.919,,
APU0000717311,2003,M10,2003 Oct,2.825,,
