Series ID,Year,Period,Label,Value,,
APU0000710411,1999,M01,1999 Jan,3.379,,Ice cream prices for 1/2 gal - source: https://data.bls.gov/dataViewer/view/timeseries/APU0000710411
APU0000710411,1999,M02,1999 Feb,3.291,,
APU0000710411,1999,M03,1999 Mar,3.231,,
APU0000710411,1999,M04,1999 Apr,3.266,,
APU0000710411,1999,M05,1999 May,3.195,,
APU0000710411,1999,M06,1999 Jun,3.306,,
APU0000710411,1999,M07,1999 Jul,3.238,,
APU0000710411,1999,M08,1999 Aug,3.25,,
APU0000710411,1999,M09,1999 Sep,3.28,,
APU0000710411,1999,M10,1999 Oct,3.38,,
APU0000710411,1999,M11,1999 Nov,3.336,,
APU0000710411,1999,M12,1999 Dec,3.404,,
APU0000710411,2000,M01,2000 Jan,3.324,,
APU0000710411,2000,M02,2000 Feb,3.34,,
APU0000710411,2000,M03,2000 Mar,3.275,,
APU0000710411,2000,M04,2000 Apr,3.338,,
APU0000710411,2000,M05,2000 May,3.347,,
APU0000710411,2000,M06,2000 Jun,3.546,,
APU0000710411,2000,M07,2000 Jul,3.461,,
APU0000710411,2000,M08,2000 Aug,3.542,,
APU0000710411,2000,M09,2000 Sep,3.586,,
APU0000710411,2000,M10,2000 Oct,3.62,,
APU0000710411,2000,M11,2000 Nov,3.32,,
APU0000710411,2000,M12,2000 Dec,3.66,,
APU0000710411,2001,M01,2001 Jan,3.673,,
APU0000710411,2001,M02,2001 Feb,3.609,,
APU0000710411,2001,M03,2001 Mar,3.66,,
APU0000710411,2001,M04,2001 Apr,3.651,,
APU0000710411,2001,M05,2001 May,3.633,,
APU0000710411,2001,M06,2001 Jun,3.703,,
APU0000710411,2001,M07,2001 Jul,3.72,,
APU0000710411,2001,M08,2001 Aug,3.841,,
APU0000710411,2001,M09,2001 Sep,3.815,,
APU0000710411,2001,M10,2001 Oct,3.824,,
APU0000710411,2001,M11,2001 Nov,3.463,,
APU0000710411,2001,M12,2001 Dec,3.836,,
APU0000710411,2002,M01,2002 Jan,3.425,,
APU0000710411,2002,M02,2002 Feb,3.81,,
APU0000710411,2002,M03,2002 Mar,3.819,,
APU0000710411,2002,M04,2002 Apr,3.723,,
APU0000710411,2002,M05,2002 May,3.8,,
APU0000710411,2002,M06,2002 Jun,3.752,,
APU0000710411,2002,M07,2002 Jul,3.883,,
APU0000710411,2002,M08,2002 Aug,3.783,,
APU0000710411,2002,M09,2002 Sep,3.896,,
APU0000710411,2002,M10,2002 Oct,3.336,,
APU0000710411,2002,M11,2002 Nov,3.816,,
APU0000710411,2002,M12,2002 Dec,3.757,,
APU0000710411,2003,M01,2003 Jan,3.752,,
APU0000710411,2003,M02,2003 Feb,3.788,,
APU0000710411,2003,M03,2003 Mar,3.852,,
APU0000710411,2003,M04,2003 Apr,3.296,,
APU0000710411,2003,M05,2003 May,3.739,,
APU0000710411,2003,M06,2003 Jun,3.806,,
APU0000710411,2003,M07,2003 Jul,3.965,,
APU0000710411,2003,M08,2003 Aug,3.976,,
APU0000710411,2003,M09,2003 Sep,3.892,,
APU0000710411,2003,M10,2003 Oct,3.878,,
APU0000710411,2003,M11,2003 Nov,3.858,,
APU0000710411,2003,M12,2003 Dec,3.898,,
APU0000710411,2004,M01,2004 Jan,3.692,,
APU0000710411,2004,M02,2004 Feb,3.808,,
APU0000710411,2004,M03,2004 Mar,3.648,,
APU0000710411,2004,M04,2004 Apr,3.815,,
APU0000710411,2004,M05,2004 May,3.744,,
APU0000710411,2004,M06,2004 Jun,3.877,,
APU0000710411,2004,M07,2004 Jul,4.026,,
APU0000710411,2004,M08,2004 Aug,4.051,,
APU0000710411,2004,M09,2004 Sep,3.968,,
APU0000710411,2004,M10,2004 Oct,3.79,,
APU0000710411,2004,M11,2004 Nov,3.777,,
APU0000710411,2004,M12,2004 Dec,3.849,,
APU0000710411,2005,M01,2005 Jan,3.873,,
APU0000710411,2005,M02,2005 Feb,3.79,,
APU0000710411,2005,M03,2005 Mar,3.654,,
APU0000710411,2005,M04,2005 Apr,3.772,,
APU0000710411,2005,M05,2005 May,3.948,,
APU0000710411,2005,M06,2005 Jun,3.619,,
APU0000710411,2005,M07,2005 Jul,3.773,,
APU0000710411,2005,M08,2005 Aug,3.796,,
APU0000710411,2005,M09,2005 Sep,3.784,,
APU0000710411,2005,M10,2005 Oct,3.705,,
APU0000710411,2005,M11,2005 Nov,3.514,,
APU0000710411,2005,M12,2005 Dec,3.691,,
APU0000710411,2006,M01,2006 Jan,3.703,,
APU0000710411,2006,M02,2006 Feb,3.766,,
APU0000710411,2006,M03,2006 Mar,3.782,,
APU0000710411,2006,M04,2006 Apr,3.622,,
APU0000710411,2006,M05,2006 May,3.674,,
APU0000710411,2006,M06,2006 Jun,3.861,,
APU0000710411,2006,M07,2006 Jul,3.627,,
APU0000710411,2006,M08,2006 Aug,3.602,,
APU0000710411,2006,M09,2006 Sep,3.717,,
APU0000710411,2006,M10,2006 Oct,3.855,,
APU0000710411,2006,M11,2006 Nov,3.875,,
APU0000710411,2006,M12,2006 Dec,3.901,,
APU0000710411,2007,M01,2007 Jan,4.032,,
APU0000710411,2007,M02,2007 Feb,4.019,,
APU0000710411,2007,M03,2007 Mar,3.969,,
APU0000710411,2007,M04,2007 Apr,3.794,,
APU0000710411,2007,M05,2007 May,3.876,,
APU0000710411,2007,M06,2007 Jun,3.879,,
APU0000710411,2007,M07,2007 Jul,3.825,,
APU0000710411,2007,M08,2007 Aug,3.895,,
APU0000710411,2007,M09,2007 Sep,3.897,,
APU0000710411,2007,M10,2007 Oct,3.942,,
APU0000710411,2007,M11,2007 Nov,4.225,,
APU0000710411,2007,M12,2007 Dec,4.081,,
APU0000710411,2008,M01,2008 Jan,4.14,,
APU0000710411,2008,M02,2008 Feb,4.041,,
APU0000710411,2008,M03,2008 Mar,4.095,,
APU0000710411,2008,M04,2008 Apr,4.204,,
APU0000710411,2008,M05,2008 May,4.076,,
APU0000710411,2008,M06,2008 Jun,4.068,,
APU0000710411,2008,M07,2008 Jul,4.169,,
APU0000710411,2008,M08,2008 Aug,4.249,,
APU0000710411,2008,M09,2008 Sep,4.418,,
APU0000710411,2008,M10,2008 Oct,4.401,,
APU0000710411,2008,M11,2008 Nov,4.397,,
APU0000710411,2008,M12,2008 Dec,4.281,,
APU0000710411,2009,M01,2009 Jan,4.441,,
APU0000710411,2009,M02,2009 Feb,4.349,,
APU0000710411,2009,M03,2009 Mar,4.165,,
APU0000710411,2009,M04,2009 Apr,4.368,,
APU0000710411,2009,M05,2009 May,4.282,,
APU0000710411,2009,M06,2009 Jun,4.25,,
APU0000710411,2009,M07,2009 Jul,4.193,,
APU0000710411,2009,M08,2009 Aug,4.279,,
APU0000710411,2009,M09,2009 Sep,4.244,,
APU0000710411,2009,M10,2009 Oct,4.623,,
APU0000710411,2009,M11,2009 Nov,4.431,,
APU0000710411,2009,M12,2009 Dec,4.234,,
APU0000710411,2010,M01,2010 Jan,4.483,,
APU0000710411,2010,M02,2010 Feb,4.388,,
APU0000710411,2010,M03,2010 Mar,4.313,,
APU0000710411,2010,M04,2010 Apr,4.445,,
APU0000710411,2010,M05,2010 May,4.563,,
APU0000710411,2010,M06,2010 Jun,4.528,,
APU0000710411,2010,M07,2010 Jul,4.432,,
APU0000710411,2010,M08,2010 Aug,4.421,,
APU0000710411,2010,M09,2010 Sep,4.325,,
APU0000710411,2010,M10,2010 Oct,4.602,,
APU0000710411,2010,M11,2010 Nov,4.49,,
APU0000710411,2010,M12,2010 Dec,4.584,,
APU0000710411,2011,M01,2011 Jan,4.74,,
APU0000710411,2011,M02,2011 Feb,4.99,,
APU0000710411,2011,M03,2011 Mar,4.923,,
APU0000710411,2011,M04,2011 Apr,4.877,,
APU0000710411,2011,M05,2011 May,4.614,,
APU0000710411,2011,M06,2011 Jun,4.854,,
APU0000710411,2011,M07,2011 Jul,4.862,,
APU0000710411,2011,M08,2011 Aug,4.792,,
APU0000710411,2011,M09,2011 Sep,4.805,,
APU0000710411,2011,M10,2011 Oct,5.209,,
APU0000710411,2011,M11,2011 Nov,5.218,,
APU0000710411,2011,M12,2011 Dec,5.251,,
APU0000710411,2012,M01,2012 Jan,5.29,,
APU0000710411,2012,M02,2012 Feb,5.03,,
APU0000710411,2012,M03,2012 Mar,5.09,,
APU0000710411,2012,M04,2012 Apr,5.206,,
APU0000710411,2012,M05,2012 May,5.048,,
APU0000710411,2012,M06,2012 Jun,4.896,,
APU0000710411,2012,M07,2012 Jul,4.929,,
APU0000710411,2012,M08,2012 Aug,4.846,,
APU0000710411,2012,M09,2012 Sep,4.893,,
APU0000710411,2012,M10,2012 Oct,5.128,,
APU0000710411,2012,M11,2012 Nov,5.036,,
APU0000710411,2012,M12,2012 Dec,5.102,,
APU0000710411,2013,M01,2013 Jan,5.263,,
APU0000710411,2013,M02,2013 Feb,5.184,,
APU0000710411,2013,M03,2013 Mar,5.089,,
APU0000710411,2013,M04,2013 Apr,5.093,,
APU0000710411,2013,M05,2013 May,4.831,,
APU0000710411,2013,M06,2013 Jun,5.005,,
APU0000710411,2013,M07,2013 Jul,4.84,,
APU0000710411,2013,M08,2013 Aug,5.034,,
APU0000710411,2013,M09,2013 Sep,4.795,,
APU0000710411,2013,M10,2013 Oct,4.945,,
APU0000710411,2013,M11,2013 Nov,4.885,,
APU0000710411,2013,M12,2013 Dec,4.975,,
APU0000710411,2014,M01,2014 Jan,5.022,,
APU0000710411,2014,M02,2014 Feb,4.979,,
APU0000710411,2014,M03,2014 Mar,4.842,,
APU0000710411,2014,M04,2014 Apr,5.011,,
APU0000710411,2014,M05,2014 May,4.911,,
APU0000710411,2014,M06,2014 Jun,4.691,,
APU0000710411,2014,M07,2014 Jul,4.719,,
APU0000710411,2014,M08,2014 Aug,4.751,,
APU0000710411,2014,M09,2014 Sep,4.987,,
APU0000710411,2014,M10,2014 Oct,4.884,,
APU0000710411,2014,M11,2014 Nov,4.863,,
APU0000710411,2014,M12,2014 Dec,5.041,,
APU0000710411,2015,M01,2015 Jan,5.089,,
APU0000710411,2015,M02,2015 Feb,4.955,,
APU0000710411,2015,M03,2015 Mar,4.889,,
APU0000710411,2015,M04,2015 Apr,4.791,,
APU0000710411,2015,M05,2015 May,4.696,,
APU0000710411,2015,M06,2015 Jun,4.62,,
APU0000710411,2015,M07,2015 Jul,4.466,,
APU0000710411,2015,M08,2015 Aug,4.597,,
APU0000710411,2015,M09,2015 Sep,4.791,,
APU0000710411,2015,M10,2015 Oct,4.626,,
