Year,Hourly wage (1 adult),"Food (annual, 1 adult)","Housing (annual, 1 adult)",Link,,,,
2025,$22.37 ,"$4,387 ","$14,461 ",https://livingwage.mit.edu/metros/28940,,,,(updated Feb 2025)
2024,$20.22 ,"$4,331 ","$11,453 ",https://web.archive.org/web/20240807212711/https://livingwage.mit.edu/metros/28940,,,,
2023,$15.57 ,"$3,926 ","$8,464 ",https://web.archive.org/web/20230928073303/https://livingwage.mit.edu/metros/28940,,,,
2022,$14.53 ,"$3,351 ","$7,416 ",https://web.archive.org/web/20220808004733/https://livingwage.mit.edu/metros/28940,,,,
2021,$12.98 ,"$3,177 ","$7,445 ",https://web.archive.org/web/20210620032054/https://livingwage.mit.edu/metros/28940,,,,
2020,$10.50 ,"$3,010 ","$6,591 ",https://web.archive.org/web/20200921030733/https://livingwage.mit.edu/metros/28940,,,,
2019,$10.43 ,"$2,994 ","$6,385 ",https://web.archive.org/web/20190608204820/http://livingwage.mit.edu/metros/28940,,,,
2018,,,,,,,,
2017,$9.75 ,"$2,983 ","$5,802 ", https://web.archive.org/web/20170311000525/http://livingwage.mit.edu/metros/28940,,,,
2016,$9.51 ,"$3,011 ","$5,742 ",https://web.archive.org/web/20160831203702/https://livingwage.mit.edu/metros/28940,,,,
2015,$10.20 ,"$3,022 ","$5,904 ",https://web.archive.org/web/20150902012810/https://livingwage.mit.edu/metros/28940,,,,
2014,,,,,,,,
2013,$8.86 ,"$2,904 ","$6,348 ",https://web.archive.org/web/20130602033743/http://livingwage.mit.edu/places/4709340000,,,,
2012,$8.86 ,"$2,904 ","$6,348 ",https://web.archive.org/web/20120510032043/https://livingwage.mit.edu/,,,,
,,,,,,,,
,,,,,,,,
,,,,,,*All data points are assuming a household with 0 children and 1 adult,,
